product_id,description
1,"Smartphone with 50MP camera, 16GB RAM, Wireless"
2,"Bluetooth speaker with Fitness tracking, 8GB RAM, 128GB storage"
3,"Laptop with 4K video, Heart rate monitor, Fitness tracking"
4,"Bluetooth speaker with 50MP camera, Fitness tracking, 64GB storage"
5,"Monitor with 4GB RAM, 64GB storage, 8GB RAM"
6,"Monitor with Fast charging, 50MP camera, 128GB storage"
7,"Camera with 8GB RAM, Heart rate monitor, 48MP camera"
8,"Keyboard with 64GB storage, 1080p resolution, 8GB RAM"
9,"Game Console with Fast charging, 48MP camera, 4GB RAM"
10,"Bluetooth speaker with 64GB storage, Long battery life, Fast charging"
11,"Tablet with 1080p resolution, Fitness tracking, Touchscreen"
12,"Laptop with Bluetooth, Fitness tracking, 8GB RAM"
13,"Smartphone with Heart rate monitor, 4K video, Touchscreen"
14,"Bluetooth speaker with Heart rate monitor, GPS, 8GB RAM"
15,"Mouse with Fast charging, 4K video, Noise cancellation"
16,"Laptop with 48MP camera, Wireless, 50MP camera"
17,"Camera with 16GB RAM, Noise cancellation, Fitness tracking"
18,"Smartphone with Long battery life, 128GB storage, 1080p resolution"
19,"Camera with 8GB RAM, Fitness tracking, Heart rate monitor"
20,"Camera with Touchscreen, 8GB RAM, GPS"
21,"Monitor with 4GB RAM, Bluetooth, Heart rate monitor"
22,"Game Console with 8GB RAM, 64GB storage, 1080p resolution"
23,"Camera with Wireless, 8GB RAM, 50MP camera"
24,"Camera with 64GB storage, 4K video, 4GB RAM"
25,"Mouse with 4K video, 64GB storage, 16GB RAM"
26,"Keyboard with Wireless, 8GB RAM, Noise cancellation"
27,"Laptop with Heart rate monitor, Bluetooth, 50MP camera"
28,"Mouse with Fast charging, Touchscreen, 128GB storage"
29,"Monitor with Long battery life, Wireless, 4GB RAM"
30,"Keyboard with 48MP camera, 1080p resolution, 50MP camera"
31,"Smartphone with 4GB RAM, 128GB storage, Bluetooth"
32,"Camera with 50MP camera, 16GB RAM, 8GB RAM"
33,"Headphones with 1080p resolution, Heart rate monitor, 4K video"
34,"Bluetooth speaker with 1080p resolution, 8GB RAM, GPS"
35,"Camera with Fast charging, 48MP camera, 4GB RAM"
36,"Game Console with Touchscreen, 16GB RAM, Heart rate monitor"
37,"Laptop with Long battery life, 4K video, 128GB storage"
38,"Smartwatch with Touchscreen, 128GB storage, 4GB RAM"
39,"Camera with Touchscreen, 16GB RAM, 1080p resolution"
40,"Smartphone with 4K video, GPS, Fast charging"
41,"Laptop with Bluetooth, Wireless, Fast charging"
42,"Smartwatch with 4K video, 8GB RAM, 1080p resolution"
43,"Keyboard with 16GB RAM, Touchscreen, Long battery life"
44,"Monitor with 1080p resolution, 128GB storage, 16GB RAM"
45,"Keyboard with 64GB storage, 8GB RAM, Fitness tracking"
46,"Smartphone with 64GB storage, Noise cancellation, 8GB RAM"
47,"Keyboard with 8GB RAM, GPS, 16GB RAM"
48,"Laptop with 8GB RAM, Touchscreen, Bluetooth"
49,"Laptop with 64GB storage, Long battery life, 50MP camera"
50,"Keyboard with Wireless, Noise cancellation, 8GB RAM"
51,"Headphones with Long battery life, 50MP camera, 4K video"
52,"Game Console with GPS, 16GB RAM, 50MP camera"
53,"Camera with Wireless, Fast charging, 4GB RAM"
54,"Smartwatch with Touchscreen, Fast charging, Long battery life"
55,"Bluetooth speaker with Fitness tracking, 1080p resolution, 16GB RAM"
56,"Mouse with 128GB storage, Wireless, Noise cancellation"
57,"Laptop with 16GB RAM, Fast charging, 50MP camera"
58,"Headphones with 4GB RAM, 48MP camera, Heart rate monitor"
59,"Smartwatch with GPS, 4GB RAM, Bluetooth"
60,"Charger with 4GB RAM, 128GB storage, Fast charging"
61,"Headphones with Heart rate monitor, Fitness tracking, 48MP camera"
62,"Keyboard with Fast charging, GPS, Long battery life"
63,"Smartphone with 4GB RAM, Heart rate monitor, 50MP camera"
64,"Keyboard with Long battery life, Noise cancellation, 16GB RAM"
65,"Game Console with Heart rate monitor, Fast charging, 64GB storage"
66,"Smartwatch with 64GB storage, 50MP camera, Bluetooth"
67,"Headphones with 16GB RAM, 48MP camera, 64GB storage"
68,"Mouse with 64GB storage, Heart rate monitor, 1080p resolution"
69,"Smartwatch with 4K video, 48MP camera, Bluetooth"
70,"Laptop with 1080p resolution, Long battery life, 50MP camera"
71,"Headphones with GPS, 128GB storage, Fast charging"
72,"Bluetooth speaker with Bluetooth, 4GB RAM, 8GB RAM"
73,"Camera with Touchscreen, 1080p resolution, Fitness tracking"
74,"Game Console with 4K video, 16GB RAM, 128GB storage"
75,"Smartwatch with 4K video, 4GB RAM, Wireless"
76,"Mouse with 8GB RAM, 128GB storage, 1080p resolution"
77,"Smartphone with Noise cancellation, 50MP camera, Fitness tracking"
78,"Bluetooth speaker with 1080p resolution, Long battery life, Fast charging"
79,"Charger with 8GB RAM, 16GB RAM, 1080p resolution"
80,"Tablet with Long battery life, Heart rate monitor, 16GB RAM"
81,"Keyboard with Fast charging, 128GB storage, Bluetooth"
82,"Charger with Long battery life, 48MP camera, 16GB RAM"
83,"Tablet with Long battery life, 50MP camera, Heart rate monitor"
84,"Laptop with Wireless, Bluetooth, 48MP camera"
85,"Keyboard with 16GB RAM, Fast charging, 48MP camera"
86,"Bluetooth speaker with 8GB RAM, 16GB RAM, Long battery life"
87,"Camera with Long battery life, 4GB RAM, 64GB storage"
88,"Camera with 1080p resolution, Heart rate monitor, Fast charging"
89,"Tablet with Touchscreen, Wireless, 1080p resolution"
90,"Bluetooth speaker with 1080p resolution, 4GB RAM, 64GB storage"
91,"Game Console with 1080p resolution, Heart rate monitor, Long battery life"
92,"Charger with 128GB storage, Fast charging, 50MP camera"
93,"Headphones with Touchscreen, 4K video, 1080p resolution"
94,"Mouse with 48MP camera, GPS, 50MP camera"
95,"Keyboard with Bluetooth, 8GB RAM, Fitness tracking"
96,"Charger with Fitness tracking, 48MP camera, 4K video"
97,"Monitor with 50MP camera, 16GB RAM, Noise cancellation"
98,"Headphones with 16GB RAM, 4K video, 8GB RAM"
99,"Smartwatch with Long battery life, Noise cancellation, 1080p resolution"
100,"Keyboard with Heart rate monitor, 48MP camera, 16GB RAM"
101,"Laptop with Heart rate monitor, 1080p resolution, 4GB RAM"
102,"Camera with Touchscreen, Bluetooth, GPS"
103,"Keyboard with 4GB RAM, 64GB storage, Touchscreen"
104,"Smartwatch with 16GB RAM, Bluetooth, Fast charging"
105,"Mouse with Long battery life, 1080p resolution, 4GB RAM"
106,"Bluetooth speaker with 8GB RAM, 48MP camera, 1080p resolution"
107,"Bluetooth speaker with 16GB RAM, Bluetooth, Touchscreen"
108,"Camera with Wireless, Fast charging, Fitness tracking"
109,"Smartphone with 48MP camera, 128GB storage, Bluetooth"
110,"Keyboard with Fast charging, 4GB RAM, Bluetooth"
111,"Game Console with 128GB storage, Long battery life, Noise cancellation"
112,"Headphones with 4K video, 16GB RAM, 4GB RAM"
113,"Tablet with 1080p resolution, 50MP camera, 4GB RAM"
114,"Mouse with 8GB RAM, 16GB RAM, 4K video"
115,"Mouse with 48MP camera, Fitness tracking, 8GB RAM"
116,"Mouse with Long battery life, 16GB RAM, Wireless"
117,"Laptop with Fast charging, Noise cancellation, GPS"
118,"Headphones with 16GB RAM, GPS, Bluetooth"
119,"Bluetooth speaker with 64GB storage, Touchscreen, 4GB RAM"
120,"Keyboard with 4GB RAM, Heart rate monitor, Noise cancellation"
121,"Game Console with Noise cancellation, Heart rate monitor, 128GB storage"
122,"Laptop with 8GB RAM, Touchscreen, 48MP camera"
123,"Laptop with GPS, 16GB RAM, Heart rate monitor"
124,"Tablet with GPS, 128GB storage, Touchscreen"
125,"Smartphone with 16GB RAM, Fitness tracking, 1080p resolution"
126,"Mouse with Touchscreen, 64GB storage, 128GB storage"
127,"Charger with Long battery life, 50MP camera, 1080p resolution"
128,"Laptop with Noise cancellation, 64GB storage, 50MP camera"
129,"Tablet with Fast charging, 4GB RAM, GPS"
130,"Mouse with Long battery life, 64GB storage, 8GB RAM"
131,"Monitor with 16GB RAM, Fast charging, 4K video"
132,"Keyboard with 48MP camera, 64GB storage, Long battery life"
133,"Headphones with 16GB RAM, 1080p resolution, 64GB storage"
134,"Headphones with 64GB storage, GPS, Heart rate monitor"
135,"Headphones with 16GB RAM, Wireless, 128GB storage"
136,"Smartphone with Bluetooth, 1080p resolution, 128GB storage"
137,"Keyboard with GPS, 48MP camera, 4K video"
138,"Tablet with Heart rate monitor, 48MP camera, 16GB RAM"
139,"Smartphone with 50MP camera, Touchscreen, GPS"
140,"Tablet with 8GB RAM, Long battery life, Heart rate monitor"
141,"Headphones with 8GB RAM, Long battery life, 48MP camera"
142,"Keyboard with GPS, 1080p resolution, 8GB RAM"
143,"Smartwatch with Noise cancellation, 64GB storage, 50MP camera"
144,"Keyboard with GPS, 8GB RAM, 4GB RAM"
145,"Smartphone with 48MP camera, Fitness tracking, Heart rate monitor"
146,"Monitor with 64GB storage, 16GB RAM, Noise cancellation"
147,"Laptop with Touchscreen, Heart rate monitor, Wireless"
148,"Charger with Fitness tracking, Bluetooth, GPS"
149,"Bluetooth speaker with Heart rate monitor, 48MP camera, 4K video"
150,"Keyboard with Wireless, 8GB RAM, 1080p resolution"
151,"Laptop with Fitness tracking, 16GB RAM, Wireless"
152,"Keyboard with Bluetooth, Fast charging, 64GB storage"
153,"Charger with 48MP camera, Long battery life, Heart rate monitor"
154,"Smartwatch with Touchscreen, 4K video, 1080p resolution"
155,"Monitor with Bluetooth, Touchscreen, 48MP camera"
156,"Smartwatch with 50MP camera, Long battery life, 64GB storage"
157,"Mouse with 8GB RAM, 64GB storage, 48MP camera"
158,"Keyboard with 128GB storage, Touchscreen, 4GB RAM"
159,"Keyboard with 48MP camera, Fitness tracking, Fast charging"
160,"Keyboard with 128GB storage, 64GB storage, Touchscreen"
161,"Camera with Bluetooth, 1080p resolution, Heart rate monitor"
162,"Game Console with 1080p resolution, Touchscreen, Fitness tracking"
163,"Keyboard with 128GB storage, Wireless, Bluetooth"
164,"Keyboard with 64GB storage, Wireless, 128GB storage"
165,"Game Console with GPS, Wireless, Touchscreen"
166,"Smartphone with 50MP camera, Fitness tracking, 4GB RAM"
167,"Camera with Wireless, 48MP camera, Fitness tracking"
168,"Camera with 1080p resolution, 16GB RAM, Wireless"
169,"Smartphone with Fast charging, 4K video, 128GB storage"
170,"Mouse with 1080p resolution, Bluetooth, Fitness tracking"
171,"Tablet with Fitness tracking, 4GB RAM, 128GB storage"
172,"Mouse with GPS, 50MP camera, 48MP camera"
173,"Headphones with 16GB RAM, Long battery life, Fitness tracking"
174,"Game Console with 64GB storage, 1080p resolution, Heart rate monitor"
175,"Keyboard with 8GB RAM, 4K video, Noise cancellation"
176,"Game Console with Fitness tracking, Fast charging, 8GB RAM"
177,"Camera with Bluetooth, Noise cancellation, Touchscreen"
178,"Headphones with 64GB storage, 50MP camera, Bluetooth"
179,"Charger with Touchscreen, Fitness tracking, Heart rate monitor"
180,"Charger with 64GB storage, 48MP camera, Touchscreen"
181,"Game Console with Bluetooth, Noise cancellation, 8GB RAM"
182,"Camera with 4GB RAM, Noise cancellation, Fast charging"
183,"Game Console with Wireless, Fitness tracking, 4GB RAM"
184,"Headphones with 128GB storage, Fitness tracking, Wireless"
185,"Monitor with 8GB RAM, 64GB storage, GPS"
186,"Monitor with 8GB RAM, 16GB RAM, Heart rate monitor"
187,"Monitor with 128GB storage, Noise cancellation, Bluetooth"
188,"Monitor with Fitness tracking, 4K video, Wireless"
189,"Camera with 4GB RAM, 128GB storage, Wireless"
190,"Tablet with Fast charging, Fitness tracking, 4GB RAM"
191,"Laptop with 4GB RAM, Heart rate monitor, Touchscreen"
192,"Smartphone with 48MP camera, 16GB RAM, Long battery life"
193,"Monitor with Touchscreen, 1080p resolution, Fitness tracking"
194,"Monitor with 48MP camera, 1080p resolution, GPS"
195,"Monitor with Fast charging, 4K video, GPS"
196,"Headphones with GPS, 8GB RAM, Fast charging"
197,"Headphones with 50MP camera, Wireless, 1080p resolution"
198,"Camera with Fast charging, 64GB storage, GPS"
199,"Bluetooth speaker with Heart rate monitor, 4GB RAM, 8GB RAM"
200,"Smartphone with Fitness tracking, GPS, 50MP camera"
201,"Mouse with Noise cancellation, 16GB RAM, 8GB RAM"
202,"Smartwatch with Touchscreen, Fitness tracking, 128GB storage"
203,"Smartphone with 4GB RAM, 4K video, Fitness tracking"
204,"Camera with 50MP camera, 16GB RAM, GPS"
205,"Headphones with 48MP camera, Heart rate monitor, 128GB storage"
206,"Smartphone with Bluetooth, GPS, Noise cancellation"
207,"Mouse with Heart rate monitor, Long battery life, Bluetooth"
208,"Keyboard with 16GB RAM, Long battery life, 8GB RAM"
209,"Headphones with Wireless, 4K video, Touchscreen"
210,"Monitor with 4GB RAM, 128GB storage, 48MP camera"
211,"Laptop with 16GB RAM, 4GB RAM, Fast charging"
212,"Tablet with 64GB storage, Wireless, Fitness tracking"
213,"Smartphone with 4K video, 128GB storage, 8GB RAM"
214,"Game Console with Wireless, Heart rate monitor, Fast charging"
215,"Laptop with Fitness tracking, 4K video, GPS"
216,"Smartphone with Touchscreen, 48MP camera, 64GB storage"
217,"Smartphone with 128GB storage, Long battery life, 1080p resolution"
218,"Bluetooth speaker with Fitness tracking, Heart rate monitor, 64GB storage"
219,"Game Console with 128GB storage, Touchscreen, 4K video"
220,"Laptop with 4GB RAM, 128GB storage, 48MP camera"
221,"Smartwatch with 1080p resolution, 4K video, 128GB storage"
222,"Mouse with 16GB RAM, Heart rate monitor, Long battery life"
223,"Smartwatch with GPS, 50MP camera, Fitness tracking"
224,"Bluetooth speaker with Noise cancellation, Long battery life, Fitness tracking"
225,"Keyboard with 48MP camera, Fast charging, Noise cancellation"
226,"Mouse with 1080p resolution, GPS, 4K video"
227,"Monitor with 64GB storage, 48MP camera, Fitness tracking"
228,"Smartwatch with 8GB RAM, Fitness tracking, Wireless"
229,"Tablet with 48MP camera, Wireless, 16GB RAM"
230,"Bluetooth speaker with GPS, Bluetooth, 16GB RAM"
231,"Headphones with Noise cancellation, 64GB storage, 4GB RAM"
232,"Bluetooth speaker with Touchscreen, 128GB storage, Bluetooth"
233,"Smartphone with 8GB RAM, Long battery life, 128GB storage"
234,"Game Console with GPS, Wireless, Bluetooth"
235,"Headphones with Heart rate monitor, Noise cancellation, 50MP camera"
236,"Keyboard with Fitness tracking, 1080p resolution, Fast charging"
237,"Camera with Fitness tracking, Noise cancellation, Heart rate monitor"
238,"Mouse with GPS, 128GB storage, 4GB RAM"
239,"Laptop with Fast charging, 4GB RAM, 16GB RAM"
240,"Bluetooth speaker with Noise cancellation, 4K video, Fast charging"
241,"Charger with 1080p resolution, Bluetooth, 48MP camera"
242,"Smartphone with 16GB RAM, GPS, 128GB storage"
243,"Mouse with 4K video, Wireless, Fitness tracking"
244,"Camera with Fitness tracking, 16GB RAM, Fast charging"
245,"Smartwatch with Fast charging, 48MP camera, 4GB RAM"
246,"Camera with Touchscreen, GPS, Wireless"
247,"Mouse with 48MP camera, GPS, Heart rate monitor"
248,"Charger with 1080p resolution, Fast charging, 16GB RAM"
249,"Smartphone with 50MP camera, GPS, Fast charging"
250,"Laptop with 50MP camera, Noise cancellation, 64GB storage"
251,"Camera with Touchscreen, 8GB RAM, Fast charging"
252,"Bluetooth speaker with Fitness tracking, 64GB storage, Heart rate monitor"
253,"Tablet with Noise cancellation, 50MP camera, 4K video"
254,"Headphones with 128GB storage, Touchscreen, Fast charging"
255,"Game Console with 50MP camera, Bluetooth, Touchscreen"
256,"Laptop with 4GB RAM, Heart rate monitor, Noise cancellation"
257,"Monitor with 4K video, Heart rate monitor, Touchscreen"
258,"Smartphone with 4GB RAM, 50MP camera, 1080p resolution"
259,"Camera with Noise cancellation, 48MP camera, 50MP camera"
260,"Smartphone with GPS, Fast charging, 8GB RAM"
261,"Laptop with Fast charging, Bluetooth, 50MP camera"
262,"Charger with 1080p resolution, Bluetooth, Heart rate monitor"
263,"Camera with Touchscreen, Heart rate monitor, 64GB storage"
264,"Charger with Wireless, Touchscreen, 16GB RAM"
265,"Mouse with Fitness tracking, Bluetooth, 4GB RAM"
266,"Mouse with Heart rate monitor, Fast charging, Long battery life"
267,"Bluetooth speaker with Noise cancellation, 64GB storage, Touchscreen"
268,"Smartwatch with Heart rate monitor, Fitness tracking, Noise cancellation"
269,"Mouse with Bluetooth, Long battery life, Heart rate monitor"
270,"Headphones with 1080p resolution, 4GB RAM, Long battery life"
271,"Camera with 48MP camera, 16GB RAM, 1080p resolution"
272,"Game Console with Heart rate monitor, 8GB RAM, Wireless"
273,"Tablet with Heart rate monitor, 1080p resolution, 16GB RAM"
274,"Charger with 48MP camera, 64GB storage, 8GB RAM"
275,"Monitor with 4K video, GPS, Touchscreen"
276,"Laptop with 8GB RAM, 48MP camera, Bluetooth"
277,"Camera with Wireless, 16GB RAM, 4GB RAM"
278,"Bluetooth speaker with 128GB storage, 8GB RAM, 50MP camera"
279,"Laptop with Long battery life, Noise cancellation, GPS"
280,"Game Console with 50MP camera, 1080p resolution, Wireless"
281,"Monitor with Fitness tracking, Noise cancellation, 4GB RAM"
282,"Smartphone with 4K video, 64GB storage, Fitness tracking"
283,"Smartwatch with 16GB RAM, Bluetooth, GPS"
284,"Smartwatch with Fitness tracking, 64GB storage, 16GB RAM"
285,"Mouse with Heart rate monitor, 4GB RAM, Long battery life"
286,"Monitor with 8GB RAM, GPS, 4GB RAM"
287,"Laptop with 8GB RAM, 1080p resolution, Wireless"
288,"Keyboard with GPS, Touchscreen, 50MP camera"
289,"Charger with Fast charging, 64GB storage, Long battery life"
290,"Monitor with 50MP camera, GPS, Long battery life"
291,"Charger with 50MP camera, Wireless, Bluetooth"
292,"Camera with 1080p resolution, 4K video, 48MP camera"
293,"Game Console with 4K video, GPS, Wireless"
294,"Charger with 8GB RAM, Fast charging, 48MP camera"
295,"Mouse with 8GB RAM, 64GB storage, 128GB storage"
296,"Smartwatch with Noise cancellation, Bluetooth, 128GB storage"
297,"Headphones with Fitness tracking, 16GB RAM, 4K video"
298,"Charger with 4K video, Touchscreen, 8GB RAM"
299,"Camera with GPS, Fast charging, 8GB RAM"
300,"Game Console with Touchscreen, 1080p resolution, 8GB RAM"
301,"Camera with Bluetooth, Wireless, Fast charging"
302,"Mouse with Bluetooth, 128GB storage, Fitness tracking"
303,"Smartwatch with 50MP camera, 64GB storage, GPS"
304,"Camera with 8GB RAM, Touchscreen, 128GB storage"
305,"Tablet with 48MP camera, 16GB RAM, Wireless"
306,"Mouse with 16GB RAM, Heart rate monitor, 4K video"
307,"Headphones with Noise cancellation, GPS, Long battery life"
308,"Mouse with 64GB storage, 4K video, Noise cancellation"
309,"Tablet with 128GB storage, Long battery life, Fast charging"
310,"Tablet with 8GB RAM, 128GB storage, Touchscreen"
311,"Tablet with 48MP camera, GPS, 8GB RAM"
312,"Tablet with 48MP camera, 128GB storage, GPS"
313,"Bluetooth speaker with Bluetooth, 1080p resolution, 64GB storage"
314,"Camera with 48MP camera, 64GB storage, 4K video"
315,"Game Console with Fast charging, 64GB storage, Bluetooth"
316,"Mouse with Fast charging, Wireless, 8GB RAM"
317,"Bluetooth speaker with 4K video, Fitness tracking, 1080p resolution"
318,"Headphones with 4GB RAM, 8GB RAM, Fitness tracking"
319,"Keyboard with Noise cancellation, 64GB storage, 1080p resolution"
320,"Bluetooth speaker with Noise cancellation, 1080p resolution, 128GB storage"
321,"Smartwatch with Long battery life, 16GB RAM, 4K video"
322,"Tablet with Heart rate monitor, Long battery life, 48MP camera"
323,"Camera with Heart rate monitor, 64GB storage, 1080p resolution"
324,"Mouse with 1080p resolution, 8GB RAM, Wireless"
325,"Game Console with Touchscreen, Bluetooth, 4GB RAM"
326,"Mouse with 4K video, 8GB RAM, Touchscreen"
327,"Laptop with Heart rate monitor, 64GB storage, Noise cancellation"
328,"Bluetooth speaker with 4GB RAM, 48MP camera, Heart rate monitor"
329,"Monitor with 4K video, Heart rate monitor, 48MP camera"
330,"Monitor with Touchscreen, 64GB storage, Wireless"
331,"Mouse with Wireless, Touchscreen, GPS"
332,"Game Console with 4GB RAM, GPS, 48MP camera"
333,"Mouse with Heart rate monitor, Bluetooth, 64GB storage"
334,"Camera with 8GB RAM, GPS, Noise cancellation"
335,"Keyboard with Touchscreen, Wireless, Fitness tracking"
336,"Game Console with Bluetooth, GPS, Touchscreen"
