product_id,description
670,"Camera with Wireless, GPS, 48MP camera"
671,"Monitor with Fitness tracking, 16GB RAM, Bluetooth"
672,"Bluetooth speaker with Noise cancellation, Wireless, Fast charging"
673,"Monitor with 128GB storage, Wireless, 64GB storage"
674,"Keyboard with 50MP camera, Fitness tracking, 8GB RAM"
675,"Laptop with 8GB RAM, 1080p resolution, 16GB RAM"
676,"Keyboard with 4K video, Wireless, Heart rate monitor"
677,"Bluetooth speaker with Heart rate monitor, Long battery life, 8GB RAM"
678,"Charger with Bluetooth, 64GB storage, 1080p resolution"
679,"Mouse with Bluetooth, Fast charging, Touchscreen"
680,"Monitor with 16GB RAM, Touchscreen, GPS"
681,"Smartphone with 64GB storage, Long battery life, 1080p resolution"
682,"Charger with 50MP camera, Wireless, 48MP camera"
683,"Charger with Fitness tracking, Bluetooth, 50MP camera"
684,"Monitor with GPS, Fitness tracking, Bluetooth"
685,"Smartphone with GPS, Bluetooth, 64GB storage"
686,"Keyboard with 16GB RAM, Noise cancellation, Touchscreen"
687,"Monitor with GPS, 48MP camera, 4K video"
688,"Laptop with 1080p resolution, 8GB RAM, Fast charging"
689,"Charger with 4K video, 1080p resolution, 4GB RAM"
690,"Monitor with Bluetooth, 4GB RAM, 64GB storage"
691,"Charger with 128GB storage, Bluetooth, 8GB RAM"
692,"Charger with 64GB storage, 16GB RAM, 50MP camera"
693,"Camera with Noise cancellation, Wireless, Heart rate monitor"
694,"Smartwatch with 128GB storage, 64GB storage, 16GB RAM"
695,"Headphones with Touchscreen, 16GB RAM, Fitness tracking"
696,"Smartwatch with 4GB RAM, Wireless, Fitness tracking"
697,"Laptop with 8GB RAM, Bluetooth, Touchscreen"
698,"Camera with Noise cancellation, 16GB RAM, 64GB storage"
699,"Mouse with 8GB RAM, Fitness tracking, Long battery life"
700,"Tablet with Heart rate monitor, 4GB RAM, 48MP camera"
701,"Bluetooth speaker with 128GB storage, Touchscreen, Wireless"
702,"Keyboard with Heart rate monitor, Fitness tracking, Noise cancellation"
703,"Bluetooth speaker with Long battery life, 48MP camera, Wireless"
704,"Bluetooth speaker with Touchscreen, Noise cancellation, Fitness tracking"
705,"Smartphone with 4K video, 16GB RAM, Long battery life"
706,"Bluetooth speaker with 48MP camera, Fitness tracking, 64GB storage"
707,"Charger with 50MP camera, Heart rate monitor, Wireless"
708,"Charger with GPS, 50MP camera, 4GB RAM"
709,"Tablet with Long battery life, 16GB RAM, 50MP camera"
710,"Game Console with Noise cancellation, GPS, 4GB RAM"
711,"Camera with 128GB storage, Fast charging, Long battery life"
712,"Smartwatch with 50MP camera, 4K video, 128GB storage"
713,"Game Console with Fitness tracking, 128GB storage, 64GB storage"
714,"Bluetooth speaker with 16GB RAM, 4GB RAM, GPS"
715,"Headphones with 128GB storage, Noise cancellation, GPS"
716,"Camera with Fast charging, GPS, 1080p resolution"
717,"Tablet with 1080p resolution, 50MP camera, Wireless"
718,"Tablet with Wireless, Heart rate monitor, 4K video"
719,"Monitor with Fitness tracking, 128GB storage, Touchscreen"
720,"Game Console with 4K video, Touchscreen, Fitness tracking"
721,"Tablet with 4K video, 1080p resolution, Bluetooth"
722,"Game Console with 16GB RAM, Fast charging, Long battery life"
723,"Keyboard with Long battery life, Fast charging, Touchscreen"
724,"Mouse with GPS, Noise cancellation, Touchscreen"
725,"Smartwatch with 128GB storage, Touchscreen, Bluetooth"
726,"Headphones with Heart rate monitor, Noise cancellation, Bluetooth"
727,"Bluetooth speaker with 50MP camera, Fitness tracking, 4GB RAM"
728,"Tablet with Wireless, Touchscreen, 128GB storage"
729,"Headphones with GPS, 8GB RAM, Wireless"
730,"Headphones with 128GB storage, 1080p resolution, 50MP camera"
731,"Keyboard with GPS, Long battery life, Touchscreen"
732,"Camera with Touchscreen, Fast charging, Long battery life"
733,"Headphones with 4K video, Long battery life, Fitness tracking"
734,"Charger with 50MP camera, Long battery life, Fast charging"
735,"Smartphone with Noise cancellation, Heart rate monitor, Bluetooth"
736,"Camera with 4GB RAM, GPS, Long battery life"
737,"Monitor with GPS, 1080p resolution, Touchscreen"
738,"Headphones with 50MP camera, Heart rate monitor, 8GB RAM"
739,"Monitor with Wireless, Fast charging, 4K video"
740,"Smartwatch with 4GB RAM, 4K video, Noise cancellation"
741,"Laptop with Heart rate monitor, 1080p resolution, 16GB RAM"
742,"Charger with 16GB RAM, Heart rate monitor, Wireless"
743,"Mouse with 4GB RAM, 48MP camera, 128GB storage"
744,"Camera with 128GB storage, Fast charging, Touchscreen"
745,"Charger with Noise cancellation, 64GB storage, Wireless"
746,"Bluetooth speaker with Bluetooth, 4GB RAM, 8GB RAM"
747,"Game Console with 16GB RAM, GPS, Bluetooth"
748,"Mouse with Wireless, GPS, 50MP camera"
749,"Keyboard with Heart rate monitor, Noise cancellation, Wireless"
750,"Tablet with 16GB RAM, 50MP camera, Long battery life"
751,"Bluetooth speaker with 50MP camera, GPS, 1080p resolution"
752,"Tablet with 50MP camera, Noise cancellation, 48MP camera"
753,"Camera with 48MP camera, Fitness tracking, Noise cancellation"
754,"Tablet with Bluetooth, Heart rate monitor, 8GB RAM"
755,"Headphones with Bluetooth, 4K video, Heart rate monitor"
756,"Smartphone with Fitness tracking, 4K video, 1080p resolution"
757,"Bluetooth speaker with 50MP camera, GPS, 8GB RAM"
758,"Smartphone with Touchscreen, Wireless, 4GB RAM"
759,"Charger with 4K video, 64GB storage, Long battery life"
760,"Headphones with Wireless, 4GB RAM, Fast charging"
761,"Bluetooth speaker with Bluetooth, Fitness tracking, 48MP camera"
762,"Laptop with 48MP camera, 1080p resolution, Heart rate monitor"
763,"Bluetooth speaker with 1080p resolution, Fast charging, Bluetooth"
764,"Bluetooth speaker with GPS, Heart rate monitor, Touchscreen"
765,"Tablet with 1080p resolution, Noise cancellation, 64GB storage"
766,"Tablet with 8GB RAM, Fitness tracking, 1080p resolution"
767,"Game Console with 50MP camera, Noise cancellation, 8GB RAM"
768,"Headphones with Wireless, 128GB storage, Heart rate monitor"
769,"Smartphone with Long battery life, 64GB storage, Noise cancellation"
770,"Camera with Heart rate monitor, 64GB storage, 50MP camera"
771,"Camera with Bluetooth, 8GB RAM, GPS"
772,"Bluetooth speaker with 16GB RAM, Fast charging, 128GB storage"
773,"Tablet with 1080p resolution, Noise cancellation, 4K video"
774,"Smartphone with Fast charging, 50MP camera, Long battery life"
775,"Bluetooth speaker with 16GB RAM, 1080p resolution, Heart rate monitor"
776,"Headphones with GPS, Fitness tracking, 4GB RAM"
777,"Camera with Wireless, Fitness tracking, 4GB RAM"
778,"Bluetooth speaker with 8GB RAM, Wireless, Noise cancellation"
779,"Keyboard with Wireless, Long battery life, Touchscreen"
780,"Tablet with 8GB RAM, Fitness tracking, 16GB RAM"
781,"Headphones with 4K video, Wireless, GPS"
782,"Laptop with 4K video, 16GB RAM, Long battery life"
783,"Bluetooth speaker with 64GB storage, Bluetooth, 128GB storage"
784,"Bluetooth speaker with Fitness tracking, Touchscreen, Bluetooth"
785,"Tablet with 1080p resolution, 8GB RAM, Long battery life"
786,"Smartphone with Heart rate monitor, 8GB RAM, 64GB storage"
787,"Mouse with 48MP camera, Fitness tracking, Touchscreen"
788,"Tablet with 16GB RAM, Touchscreen, 4K video"
789,"Laptop with Touchscreen, 48MP camera, 1080p resolution"
790,"Smartwatch with Fitness tracking, Fast charging, 48MP camera"
791,"Game Console with 4GB RAM, 8GB RAM, Fitness tracking"
792,"Keyboard with 4GB RAM, 1080p resolution, Fast charging"
793,"Headphones with Touchscreen, Fast charging, 4K video"
794,"Mouse with Wireless, Heart rate monitor, 64GB storage"
795,"Keyboard with 16GB RAM, Bluetooth, 8GB RAM"
796,"Smartphone with 1080p resolution, Bluetooth, 50MP camera"
797,"Camera with 16GB RAM, Long battery life, 64GB storage"
798,"Mouse with Heart rate monitor, Bluetooth, 16GB RAM"
799,"Laptop with 48MP camera, 4GB RAM, 128GB storage"
800,"Headphones with 16GB RAM, Touchscreen, Heart rate monitor"
801,"Mouse with Fast charging, Bluetooth, Long battery life"
802,"Bluetooth speaker with 16GB RAM, Heart rate monitor, 4GB RAM"
803,"Mouse with 4GB RAM, Heart rate monitor, 16GB RAM"
804,"Headphones with 128GB storage, Heart rate monitor, Long battery life"
805,"Charger with 4GB RAM, Long battery life, GPS"
806,"Smartphone with Bluetooth, 50MP camera, 128GB storage"
807,"Bluetooth speaker with 8GB RAM, 1080p resolution, Heart rate monitor"
808,"Camera with Fast charging, Wireless, 4K video"
809,"Headphones with 50MP camera, Long battery life, 4GB RAM"
810,"Game Console with 48MP camera, Noise cancellation, 50MP camera"
811,"Tablet with 64GB storage, Touchscreen, Bluetooth"
812,"Tablet with 1080p resolution, 50MP camera, 64GB storage"
813,"Game Console with Touchscreen, 4GB RAM, Fitness tracking"
814,"Smartwatch with Fast charging, Wireless, 4K video"
815,"Keyboard with Noise cancellation, 50MP camera, Long battery life"
816,"Laptop with 50MP camera, GPS, Long battery life"
817,"Bluetooth speaker with Fitness tracking, 1080p resolution, 4GB RAM"
818,"Monitor with 8GB RAM, 128GB storage, Noise cancellation"
819,"Camera with 4K video, GPS, 48MP camera"
820,"Bluetooth speaker with 4GB RAM, 1080p resolution, Heart rate monitor"
821,"Bluetooth speaker with 64GB storage, Touchscreen, 128GB storage"
822,"Game Console with 50MP camera, Wireless, Fast charging"
823,"Mouse with 1080p resolution, 128GB storage, 64GB storage"
824,"Mouse with Wireless, 16GB RAM, Noise cancellation"
825,"Bluetooth speaker with 128GB storage, 8GB RAM, GPS"
826,"Bluetooth speaker with 8GB RAM, Touchscreen, 4GB RAM"
827,"Monitor with 64GB storage, Heart rate monitor, 50MP camera"
828,"Laptop with Long battery life, Wireless, Bluetooth"
829,"Monitor with 48MP camera, 4K video, Long battery life"
830,"Mouse with Long battery life, 48MP camera, 1080p resolution"
831,"Headphones with Bluetooth, Heart rate monitor, Fitness tracking"
832,"Keyboard with Fitness tracking, Bluetooth, GPS"
833,"Headphones with Bluetooth, 128GB storage, Touchscreen"
834,"Tablet with 1080p resolution, Long battery life, GPS"
835,"Laptop with GPS, Long battery life, Touchscreen"
836,"Smartwatch with 50MP camera, 4K video, Noise cancellation"
837,"Headphones with 1080p resolution, Fast charging, 48MP camera"
838,"Charger with Long battery life, Touchscreen, 128GB storage"
839,"Headphones with Noise cancellation, 4K video, 1080p resolution"
840,"Smartwatch with 1080p resolution, 4GB RAM, Bluetooth"
841,"Headphones with Fitness tracking, Noise cancellation, Wireless"
842,"Tablet with Long battery life, 128GB storage, 1080p resolution"
843,"Game Console with Fitness tracking, 50MP camera, 8GB RAM"
844,"Game Console with Touchscreen, Fitness tracking, 128GB storage"
845,"Camera with 64GB storage, Fitness tracking, 48MP camera"
846,"Tablet with 48MP camera, 64GB storage, Touchscreen"
847,"Tablet with Touchscreen, Wireless, Long battery life"
848,"Camera with 1080p resolution, Touchscreen, 128GB storage"
849,"Tablet with Bluetooth, 64GB storage, GPS"
850,"Charger with 48MP camera, Fast charging, 8GB RAM"
851,"Game Console with Fast charging, 4GB RAM, 128GB storage"
852,"Monitor with Long battery life, 50MP camera, Fitness tracking"
853,"Charger with 1080p resolution, Wireless, 16GB RAM"
854,"Laptop with 4GB RAM, Wireless, 64GB storage"
855,"Smartphone with 48MP camera, Long battery life, Wireless"
856,"Smartwatch with Fitness tracking, 4GB RAM, 128GB storage"
857,"Laptop with 64GB storage, Noise cancellation, Heart rate monitor"
858,"Camera with 4GB RAM, 8GB RAM, Wireless"
859,"Charger with Wireless, 4GB RAM, 64GB storage"
860,"Mouse with 4GB RAM, Bluetooth, 48MP camera"
861,"Smartwatch with Fitness tracking, Long battery life, 8GB RAM"
862,"Bluetooth speaker with GPS, 1080p resolution, 48MP camera"
863,"Laptop with GPS, Long battery life, Bluetooth"
864,"Charger with 1080p resolution, Fitness tracking, Bluetooth"
865,"Laptop with GPS, 1080p resolution, 64GB storage"
866,"Tablet with Wireless, Long battery life, 50MP camera"
867,"Camera with Touchscreen, Heart rate monitor, Wireless"
868,"Laptop with Long battery life, 16GB RAM, 48MP camera"
869,"Camera with Fast charging, 64GB storage, Bluetooth"
870,"Headphones with Long battery life, 64GB storage, 50MP camera"
871,"Keyboard with 50MP camera, 128GB storage, 4K video"
872,"Game Console with 4GB RAM, 48MP camera, Touchscreen"
873,"Smartwatch with 48MP camera, Long battery life, 64GB storage"
874,"Camera with Wireless, 8GB RAM, Noise cancellation"
875,"Headphones with Wireless, Bluetooth, 1080p resolution"
876,"Mouse with Wireless, Long battery life, 4GB RAM"
877,"Smartwatch with Fitness tracking, 64GB storage, 4GB RAM"
878,"Laptop with Noise cancellation, 4GB RAM, 64GB storage"
879,"Headphones with 48MP camera, 64GB storage, 128GB storage"
880,"Game Console with Bluetooth, 50MP camera, Long battery life"
881,"Charger with 128GB storage, Wireless, 16GB RAM"
882,"Smartwatch with Wireless, Fitness tracking, 128GB storage"
883,"Bluetooth speaker with Touchscreen, 48MP camera, 50MP camera"
884,"Camera with Wireless, Long battery life, 16GB RAM"
885,"Bluetooth speaker with Bluetooth, 4GB RAM, 4K video"
886,"Charger with Heart rate monitor, 8GB RAM, Touchscreen"
887,"Smartphone with 48MP camera, 4K video, 128GB storage"
888,"Keyboard with Bluetooth, 4GB RAM, 8GB RAM"
889,"Monitor with GPS, 48MP camera, 50MP camera"
890,"Smartwatch with 1080p resolution, 4GB RAM, Heart rate monitor"
891,"Charger with Noise cancellation, Heart rate monitor, 8GB RAM"
892,"Mouse with 16GB RAM, Fitness tracking, Touchscreen"
893,"Game Console with 8GB RAM, 128GB storage, 16GB RAM"
894,"Bluetooth speaker with 4K video, 1080p resolution, Touchscreen"
895,"Bluetooth speaker with 64GB storage, 50MP camera, 8GB RAM"
896,"Headphones with Touchscreen, 1080p resolution, Wireless"
897,"Laptop with Long battery life, 64GB storage, 128GB storage"
898,"Smartwatch with 8GB RAM, GPS, 4GB RAM"
899,"Charger with Fitness tracking, 128GB storage, Noise cancellation"
900,"Headphones with 4GB RAM, Fast charging, Noise cancellation"
901,"Monitor with Fitness tracking, 48MP camera, 16GB RAM"
902,"Laptop with 50MP camera, 4GB RAM, 8GB RAM"
903,"Keyboard with 4K video, Wireless, Fast charging"
904,"Bluetooth speaker with Wireless, GPS, Noise cancellation"
905,"Smartphone with 8GB RAM, Heart rate monitor, Noise cancellation"
906,"Smartphone with 8GB RAM, 128GB storage, Fast charging"
907,"Mouse with 1080p resolution, Wireless, 4GB RAM"
908,"Keyboard with 48MP camera, Long battery life, 8GB RAM"
909,"Charger with Bluetooth, GPS, 50MP camera"
910,"Mouse with Noise cancellation, Touchscreen, GPS"
911,"Tablet with 64GB storage, 4GB RAM, Fitness tracking"
912,"Bluetooth speaker with Fast charging, Heart rate monitor, Touchscreen"
913,"Camera with GPS, 48MP camera, Touchscreen"
914,"Game Console with 1080p resolution, Long battery life, Bluetooth"
915,"Smartwatch with Touchscreen, Bluetooth, Noise cancellation"
916,"Tablet with Fast charging, 8GB RAM, 16GB RAM"
917,"Bluetooth speaker with Fast charging, 64GB storage, 128GB storage"
918,"Smartphone with 64GB storage, Noise cancellation, 128GB storage"
919,"Keyboard with Wireless, 128GB storage, 4GB RAM"
920,"Game Console with Heart rate monitor, Touchscreen, Long battery life"
921,"Monitor with 16GB RAM, 4K video, 48MP camera"
922,"Charger with 16GB RAM, Heart rate monitor, GPS"
923,"Bluetooth speaker with Bluetooth, Wireless, Touchscreen"
924,"Laptop with 48MP camera, 4GB RAM, Wireless"
925,"Monitor with 4K video, Fitness tracking, Fast charging"
926,"Keyboard with Bluetooth, 16GB RAM, Noise cancellation"
927,"Camera with Touchscreen, Long battery life, 4GB RAM"
928,"Mouse with Bluetooth, 16GB RAM, Long battery life"
929,"Headphones with Touchscreen, 16GB RAM, 1080p resolution"
930,"Charger with 128GB storage, Long battery life, 16GB RAM"
931,"Game Console with Fitness tracking, 16GB RAM, 64GB storage"
932,"Smartphone with 50MP camera, 128GB storage, 8GB RAM"
933,"Smartwatch with 50MP camera, Fitness tracking, Touchscreen"
934,"Monitor with GPS, Touchscreen, 4K video"
935,"Laptop with 4K video, 48MP camera, Touchscreen"
936,"Tablet with 1080p resolution, Touchscreen, 4K video"
937,"Charger with GPS, 128GB storage, Wireless"
938,"Headphones with 50MP camera, 4GB RAM, 128GB storage"
939,"Smartphone with 48MP camera, Heart rate monitor, Fast charging"
940,"Headphones with 48MP camera, 8GB RAM, 128GB storage"
941,"Smartwatch with Wireless, Heart rate monitor, 4K video"
942,"Game Console with 4GB RAM, Heart rate monitor, 4K video"
943,"Game Console with Fitness tracking, 4GB RAM, Long battery life"
944,"Monitor with 50MP camera, Long battery life, Touchscreen"
945,"Game Console with GPS, 16GB RAM, Touchscreen"
946,"Bluetooth speaker with Heart rate monitor, Noise cancellation, Fitness tracking"
947,"Headphones with Noise cancellation, 64GB storage, 8GB RAM"
948,"Smartwatch with 4GB RAM, Touchscreen, 1080p resolution"
949,"Tablet with 64GB storage, 16GB RAM, Touchscreen"
950,"Charger with 16GB RAM, Fitness tracking, Long battery life"
951,"Keyboard with Wireless, 128GB storage, Long battery life"
952,"Headphones with 1080p resolution, Long battery life, 64GB storage"
953,"Camera with Heart rate monitor, Fast charging, 8GB RAM"
954,"Smartwatch with Long battery life, Fitness tracking, 1080p resolution"
955,"Monitor with Touchscreen, 4K video, 64GB storage"
956,"Headphones with 8GB RAM, Bluetooth, GPS"
957,"Tablet with Fast charging, Bluetooth, 48MP camera"
958,"Laptop with Long battery life, 16GB RAM, 4GB RAM"
959,"Laptop with 48MP camera, Noise cancellation, 1080p resolution"
960,"Tablet with GPS, Long battery life, 1080p resolution"
961,"Smartphone with Heart rate monitor, Bluetooth, 4K video"
962,"Laptop with Noise cancellation, 8GB RAM, Heart rate monitor"
963,"Monitor with 1080p resolution, Noise cancellation, Touchscreen"
964,"Monitor with 4GB RAM, 64GB storage, Fitness tracking"
965,"Game Console with 8GB RAM, 128GB storage, Long battery life"
966,"Keyboard with Wireless, GPS, 48MP camera"
967,"Mouse with GPS, 128GB storage, 64GB storage"
968,"Monitor with Wireless, 1080p resolution, Fast charging"
969,"Camera with 1080p resolution, 16GB RAM, 4K video"
970,"Laptop with GPS, Long battery life, Fitness tracking"
971,"Bluetooth speaker with 4K video, 128GB storage, Noise cancellation"
972,"Game Console with Fitness tracking, Touchscreen, Noise cancellation"
973,"Laptop with Wireless, 8GB RAM, 48MP camera"
974,"Bluetooth speaker with Fast charging, GPS, Long battery life"
975,"Tablet with Heart rate monitor, 64GB storage, 4GB RAM"
976,"Keyboard with 8GB RAM, Fitness tracking, 1080p resolution"
977,"Tablet with 48MP camera, 128GB storage, 1080p resolution"
978,"Tablet with Touchscreen, 8GB RAM, Noise cancellation"
979,"Monitor with GPS, Fast charging, 8GB RAM"
980,"Headphones with 1080p resolution, Fast charging, Noise cancellation"
981,"Tablet with 50MP camera, Wireless, 1080p resolution"
982,"Monitor with Bluetooth, 1080p resolution, 64GB storage"
983,"Tablet with 4GB RAM, Wireless, 16GB RAM"
984,"Laptop with Touchscreen, Wireless, 4GB RAM"
985,"Monitor with 8GB RAM, Noise cancellation, 4K video"
986,"Smartwatch with Fast charging, 128GB storage, Touchscreen"
987,"Keyboard with Fast charging, Bluetooth, 16GB RAM"
988,"Headphones with GPS, 4K video, 8GB RAM"
989,"Smartwatch with 4K video, 4GB RAM, Bluetooth"
990,"Headphones with 48MP camera, Touchscreen, Noise cancellation"
991,"Game Console with 128GB storage, 4GB RAM, Wireless"
992,"Headphones with 1080p resolution, GPS, 64GB storage"
993,"Mouse with 4GB RAM, Fast charging, Fitness tracking"
994,"Mouse with Bluetooth, 4K video, Fitness tracking"
995,"Smartwatch with 64GB storage, Long battery life, 128GB storage"
996,"Laptop with Touchscreen, Wireless, Noise cancellation"
997,"Smartphone with Wireless, 1080p resolution, Noise cancellation"
998,"Headphones with 4K video, 48MP camera, Touchscreen"
999,"Laptop with Long battery life, Heart rate monitor, Touchscreen"
1000,"Smartphone with Noise cancellation, 1080p resolution, 64GB storage"
